PERSON_ID,WAM,,ENG4701_ID,ENG4701_MARK,,ENG4701_WAM,ENG4701_DEPT,,ENG4702_ID,ENG4702_MARK,ENG4702_WAM,ENG4702_DEPT
30595711,79.391,,27771903,28,N,72.774,CL_CIV,,28062132,76,67.492,MA_CHE
30584728,79.38,,29688868,80,HD,60.117,CL_CIV,,30258669,78,70.965,MA_CHE
29715814,79.291,,29732794,78,D,74.628,CL_CIV,,28436741,68,63.246,MA_CHE
29717825,79.254,,28787064,80,HD,66,CL_CIV,,30233224,78,74.826,MA_CHE
28761294,79.242,,28760921,72,D,62.485,CL_CIV,,29275040,0,75.5,MA_CHE
29704812,79.22,,28801369,75,D,73.472,CL_CIV,,30307759,71,74.35,MA_CHE
30630398,79.188,,29658179,78,D,78.017,CL_CIV,,30219957,71,72.879,MA_CHE
28765249,79.149,,29695287,73,D,70.788,CL_CIV,,30769132,70,73.65,MA_CHE
29439949,79.077,,28764889,68,C,67,CL_CIV,,30547857,68,71.306,MA_CHE
28508947,79.067,,29675030,76,D,70.226,CL_CIV,,30526388,71,77.653,MA_CHE
29680948,79.065,,29700817,64,C,67.295,CL_CIV,,29939275,81,73.796,MA_CHE
29682452,79.043,,29716543,80,HD,72.491,CL_CIV,,29878209,80,71.017,MA_CHE
30506239,79,,30083958,75,D,69.051,CL_CIV,,29951062,80,78.146,MA_CHE
30585074,79,,29986907,68,C,66.75,CL_CIV,,29939593,74,80.857,MA_CHE
29665337,78.979,,27947297,72,D,66.435,CL_CIV,,30096448,78,78.914,MA_CHE
30519632,78.97,,28894162,82,HD,63.5,CL_CIV,,30276845,80,83.138,MA_CHE
29687519,78.95,,28768833,81,HD,68.69,CL_CIV,,30238714,77,74.931,MA_CHE
29711606,78.949,,28939875,64,C,54.359,CL_CIV,,29939739,78,75.833,MA_CHE
29659884,78.941,,29772095,71,D,66.111,CL_CIV,,29956617,76,69.436,MA_CHE
29708133,78.933,,30621194,75,D,81.362,CL_CIV,,29274214,76,72.509,MA_CHE
29645859,78.932,,30608651,37,N,62.432,CL_CIV,,29989698,75,69.787,MA_CHE
29697271,78.915,,27850757,76,D,69.731,CL_CIV,,30239915,77,74.96,MA_CHE
26896982,78.909,,29679214,76,D,71.646,CL_CIV,,29799996,76,77.636,MA_CHE
29806224,78.86,,31975410,80,HD,72.5,CL_CIV,,29815584,75,78.828,MA_CHE
30654807,78.851,,28322576,63,C,58.075,CL_CIV,,29998506,70,69.538,MA_CHE
28753984,78.836,,29695627,73,D,68.034,CL_CIV,,29275512,72,69.288,MA_CHE
29674212,78.822,,28717201,75,D,60.769,CL_CIV,,29799775,70,74.771,MA_CHE
28780817,78.792,,29484421,68,C,62.804,CL_CIV,,30698251,77,76.18,MA_CHE
29717264,78.758,,29680948,77,D,79.065,CL_CIV,,30304385,77,79.603,MA_CHE
28756053,78.729,,29760976,28,N,58.583,CL_CIV,,30368715,71,73.5,MA_CHE
29684846,78.679,,28764048,86,HD,77.763,CL_CIV,,29912482,72,72.16,MA_CHE
30623448,78.521,,29706734,86,HD,86.328,CL_CIV,,29250749,67,64.872,MA_CHE
29662346,78.5,,28754387,86,HD,70.455,CL_CIV,,30304393,72,72.648,MA_CHE
29711274,78.491,,30222354,85,HD,66.25,CL_CIV,,29797500,80,71.3,MA_CHE
28752759,78.475,,29347599,85,HD,70.544,CL_CIV,,29940583,71,70.939,MA_CHE
29617952,78.471,,30571901,76,D,64.722,CL_CIV,,29800307,78,76.18,MA_CHE
29726522,78.469,,29965217,80,HD,74.745,CL_CIV,,30242339,76,77,MA_CHE
29663385,78.442,,27760758,80,HD,65.968,CL_CIV,,30524164,80,76.6,MA_CHE
29687977,78.439,,30005388,74,D,70.871,CL_CIV,,30065283,70,70.889,MA_CHE
29718457,78.429,,28794842,31,N,68.133,CL_CIV,,30524172,66,69.14,MA_CHE
29807395,78.386,,28789989,78,D,77.917,CL_CIV,,29800498,70,66.87,MA_CHE
28677528,78.326,,29737354,82,HD,73.433,CL_CIV,,30292956,75,69.74,MA_CHE
29730155,78.306,,29701503,73,D,63.724,CL_CIV,,30376181,80,78.32,MA_CHE
29731046,78.304,,29615550,77,D,70.286,CL_CIV,,29823765,68,61.339,MA_CHE
